Location Name,Full Address,City,Lat,Lon
מקלט 9 אבן יהודה,"חן 51, אבן יהודה",אבן יהודה,32.278744705185254,34.88991907562628
מקלט מס' 19 אבן יהודה,"מיסדים 78, אבן יהודה",אבן יהודה,32.27000505899513,34.88570370383615
מקלט ציבורי אבן יהודה,"המעפילים 15, אבן יהודה",אבן יהודה,32.26098483761307,34.88827167393272
"מקלט אבן מנחם אזור צפון, אבן מנחם","אבן מנחם אזור צפון, אבן מנחם",אבן מנחם,33.07571206755714,35.29531919663163
"מקלט אזור מרכז ליד הבית כנסת, אבן מנחם","אזור מרכז ליד הבית כנסת, אבן מנחם",אבן מנחם,33.07401740904169,35.294696311135816
מקלט 1 אבן מנחם,"אבן מנחם אזור צפון, אבן מנחם",אבן מנחם,33.07539532315665,35.29690388046892
מקלט 10 אבן מנחם,"אבן מנחם אזור צפון, אבן מנחם",אבן מנחם,33.075020117175654,35.292073512870076
מקלט 12 אבן מנחם,"אזור מרכז ליד המזכירות, אבן מנחם",אבן מנחם,33.07414339984591,35.29502843036621
מקלט 13 אבן מנחם,"אבן מנחם אזור מרכז, אבן מנחם",אבן מנחם,33.07412844541752,35.29190019169202
מקלט 14 אבן מנחם,"אזור מרכז ליד המרפאה, אבן מנחם",אבן מנחם,33.07427835942545,35.29542481610387
מקלט 3 אבן מנחם,"אבן מנחם אזור מרכז, אבן מנחם",אבן מנחם,33.07408885554211,35.295638808317335
מקלט 4 אבן מנחם,"אבן מנחם אזור מרכז, אבן מנחם",אבן מנחם,33.07450282845032,35.296710177142515
מקלט 5 אבן מנחם,"אבן מנחם אזור  דרום, אבן מנחם",אבן מנחם,33.07332326689166,35.29451354456104
מקלט 6 אבן מנחם,"אזור מרכז ליד המקווה, אבן מנחם",אבן מנחם,33.074000597080165,35.29299350644
מקלט 7 אבן מנחם,"אבן מנחם אזור המרכז, אבן מנחם",אבן מנחם,33.07418929456655,35.29390399269108
מקלט 9 אבן מנחם,"אבן מנחם אזור צפון, אבן מנחם",אבן מנחם,33.07475923675792,35.29121649834676
"מקלט אבן ספיר ליד 36, אבן ספיר","אבן ספיר ליד 36, אבן ספיר",אבן ספיר,31.764383778010917,35.134093827960854
"מקלט יהלום בסמוך למזכירות, אבן ספיר","יהלום בסמוך למזכירות, אבן ספיר",אבן ספיר,31.761165217122038,35.13596456256809
"מקלט יהלום ליד בית הכנסת, אבן ספיר","יהלום ליד בית הכנסת, אבן ספיר",אבן ספיר,31.7626439317924,35.135393475155915
"מקלט יהלום ליד בית העם, אבן ספיר","יהלום ליד בית העם, אבן ספיר",אבן ספיר,31.763049514333563,35.13493928383166
מקלט 1 אבן ספיר,"יהלום מול 10, אבן ספיר",אבן ספיר,31.76370781906347,35.13486490253173
מקלט 1 אבן שמואל,"מרכז היישוב ליד המזכירות, אבן שמואל",אבן שמואל,31.57586988628058,34.76426787449199
מקלט 2 אבן שמואל,"צפונית ליישוב מול בית התרבות, אבן שמואל",אבן שמואל,31.578116925248594,34.76467869887806
מקלט 3 אבן שמואל,"צפונית ליישוב חלקה 135, אבן שמואל",אבן שמואל,31.577441858740595,34.76244855791364
מקלט 4 אבן שמואל,"מרכז היישוב חלקה 93, אבן שמואל",אבן שמואל,31.576703148992816,34.762683799840836
מקלט 5 אבן שמואל,"מרכז היישוב ליד האולפנה, אבן שמואל",אבן שמואל,31.574987680679495,34.762123041576686
מקלט 5 אבן שמואל,"צפונית מערבית ליישוב חלקה 136, אבן שמואל",אבן שמואל,31.57699488432585,34.76098638106694
מקלט 6 אבן שמואל,"צפונית ליישוב ליד הפנימייה, אבן שמואל",אבן שמואל,31.576120754822902,34.76118013667202
"מקלט אבני איתן מרכז הישוב, אבני איתן","אבני איתן מרכז הישוב, אבני איתן",אבני איתן,32.82492641133666,35.76667082653525
"מקלט אבני איתן מרכז הישוב, אבני איתן","אבני איתן מרכז הישוב, אבני איתן",אבני איתן,32.824540189182194,35.76633734071789
"מקלט אבני איתן סוף הישוב, אבני איתן","אבני איתן סוף הישוב, אבני איתן",אבני איתן,32.82016047598928,35.7678047683049
"מקלט אבני איתן סוף הישוב, אבני איתן","אבני איתן סוף הישוב, אבני איתן",אבני איתן,32.823373274017555,35.763147659299165
"מקלט אבני איתן סוף הישוב, אבני איתן","אבני איתן סוף הישוב, אבני איתן",אבני איתן,32.823496023032085,35.76392799395818
"מקלט אבני איתן סוף הישוב, אבני איתן","אבני איתן סוף הישוב, אבני איתן",אבני איתן,32.82325655741563,35.76101113636712
"מקלט אבני איתן סוף הישוב, אבני איתן","אבני איתן סוף הישוב, אבני איתן",אבני איתן,32.8234776927399,35.76197362443953
"מקלט אבני איתן תחילת הישוב, אבני איתן","אבני איתן תחילת הישוב, אבני איתן",אבני איתן,32.82732114040908,35.76145298684601
"מקלט אבני איתן תחילת הישוב, אבני איתן","אבני איתן תחילת הישוב, אבני איתן",אבני איתן,32.82729839821837,35.76251010991878
"מקלט אבני איתן תחילת הישוב, אבני איתן","אבני איתן תחילת הישוב, אבני איתן",אבני איתן,32.827274788301075,35.763759456870694
"מקלט גלעד מול המזכירות, אבני חפץ","גלעד מול המזכירות, אבני חפץ",אבני חפץ,32.287606870953915,35.07225877045934
"מקלט גלעד מרכז הישוב, אבני חפץ","גלעד מרכז הישוב, אבני חפץ",אבני חפץ,32.283615662709856,35.075767655042235
"מקלט כרמל מערב הישוב, אבני חפץ","כרמל מערב הישוב, אבני חפץ",אבני חפץ,32.28726250091212,35.070645657806196
"מקלט לבונה מרכז הישוב, אבני חפץ","לבונה מרכז הישוב, אבני חפץ",אבני חפץ,32.28430877367375,35.07454589121343
"מקלט שחר מרכז הישוב, אבני חפץ","שחר מרכז הישוב, אבני חפץ",אבני חפץ,32.285523446084646,35.07193270622551
"מקלט אבשלום אזור מרכז, אבשלום","אבשלום אזור מרכז, אבשלום",אבשלום,31.195675897463815,34.33055575820615
"מקלט אבשלום אזור צפון, אבשלום","אבשלום אזור צפון, אבשלום",אבשלום,31.196476876395668,34.33030708985081
